	RVIS	missense-Z	pLi	Phi	LofTool	s_het	Blomen KBM7	Wang KBM7	Wang K562	Wang Jiyoye	Wang Raji	Hart HCT116	Hart HeLa	Hart GBM	Hart RPE1	Hart DLD1	Dickinson_EG
ENSG00000106565	7.02367327	-1.009119797	3.00E-09	3.61E-06	0.022	0.003617758	-0.470588235	-0.191	0.323	-0.382	-0.007	-138.371	-96.283	-28.65	-51.184	-15.055	0
ENSG00000104915	34.50996928	0.652251468	3.57E-10	1.57E-11	0.673	0.005153036	-0.491285403	-0.127	0.377	-0.017	0.122	-117.608	-23.294	-18.433	-42.21	-17.43	
ENSG00000159588	18.30612614	-0.716424442	3.59E-13	9.05E-23	0.025		-0.310344828	0.056	0.378	-0.212	-0.132	-32.54	-39.161	1.045	-18.422	-9.382	
ENSG00000018189	67.7850731899999	1.645770264	0.980976379	0.980266866144872	0.409	0.090722844	-0.512684052	-0.158	-0.297	0.063	-0.003	-104.391	-21.864	-16.17	-31.414	-15.863	1
ENSG00000173209	19.8843443199999	-2.574666648	5.61E-06	6.69E-12	0.481	0.001041198	-0.566666667	0.064	0.463	0.204	0.602	-1.154	-10.917	-0.283	-17.904	-5.937	0
ENSG00000213215	13.4690681299999	-1.165730187	0.004287378	1.64E-07	0.158	0.006109945	0					-37.685	-17.251				
ENSG00000118307	61.37582073	-1.168675888	8.06E-12	9.71E-16	0.04	0.002877627	-0.497881356	-0.112	-0.328	-0.052	-0.26	-82.834	15.993	-31.116	-38.227	-17.879	
ENSG00000166689	95.687006807	0.290285563	1.73E-04	0.98067631938549	0.228999999999999	0.02320348	-0.531230015	-0.043	0.146	-0.082	0.028	-130.912	-49.748	-32.665	-42.704	-14.86	
ENSG00000100122	41.76254443	0.858184381	3.89E-04	4.41E-07	0.287	0.010006926	-0.520979021	-0.036	-0.014	-0.013	-0.031	-96.108	-32.567	-25.584	-34.822	-14.501	
ENSG00000125968	20.58912114	-0.16760663	0.007655575	0.013799156974725	0.659	0.011465732	-0.410714286	-0.064	-0.172	-0.038	0.034	-21.548	-16.881	-6.599	31.831	-3.784	0
ENSG00000104064	72.00168665	2.257194298	0.92988831	0.998824062963136	0.493		-0.101800554	1.833	1.306	2.506	1.322	-36.46	-32.854	-26.197	-1.392	-4.316	1
ENSG00000153233	31.41377025	-0.446867454	4.30E-04	0.129246295048798	0.572	0.017570347	-0.505701537	-0.045	-0.077	-0.205	-0.412	-140.972	-64.04	-12.606	-34.51	-9.176	0
ENSG00000186318	79.62773327	2.815172565	0.944278809	0.969801321954824	0.596	0.011750506	-0.523719165	0.2	0.091	0.041	0.111	-49.153	-50.052	-8.631	-26.751	-12.202	1
ENSG00000079257	7.93928076999999	0.383854552	0.003620445	5.30E-05	0.187	0.005895278		-0.292	-0.188	-0.251	-0.391	-60.686	-30.867	-20.541	-26.575	-15.618	0
ENSG00000189298	78.59165111	1.474188237	1.23E-04	0.213494843410631	0.332999999999999	0.00845678	-0.559322034	-0.213	0.34	-0.128	-0.102	-25.333	-2.539	-21.743	-24.142	-13.382	
ENSG00000133710	30.6306849	-0.831117763	2.12E-17	4.97E-16	0.003	0.006757604	-0.466666667	-0.176	-0.051	0.419	0.079	-80.828	-70.417	-31.34	-37.674	-16.517	1
ENSG00000092010	51.57520631	0.402600355	0.050880833	2.11E-04	0.114999999999999	0.030826244	-0.553846154	-0.17	0.142	-0.338	0.182	-102.297	-28.593	-31.413	-46.632	-16.473	0
ENSG00000112208	58.08686224	0.603573738	0.088336138	0.025640645737301	0.542	0.020415329	-0.520022883	0.097	0.276	0.104	-0.142	-23.971	-24.237	-21.722	-38.328	-13.073	
ENSG00000173193	96.397807361	1.109042099	0.01296069	0.70547240678955	0.341999999999999	0.031765814	-0.515302491	-0.142	0.054	-0.278	-0.331	-44.14	-79.284	-27.07	-48.69	-19.907	
ENSG00000171608	97.451960725	5.610522559	0.999984295	0.998673015665413	0.817	0.25745727	-0.401719902	0.322	-0.143	1	0.849	-89.407	-43.474	-26.76	-20.804	-14.55	0
ENSG00000171051	16.66164689	0.804972936	0.063805813	3.45E-06	0.43	0.024640497	-0.5	-0.124	-0.065	0.028	0.194	-70.952	-59.073	-5.08	-23.614	-14.114	0
